,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,256,457,39.0,22.0,14.0,0.0,9335.0,2138.0,4900.0,3550.0,200.0,6.666666666666667,99.24004641408727,83.52389929169374,15.716147122393537,57.0,21.0,14.0,1.0,9498.0,2039.0,4600.0,3550.0,653.0,11.333333333333334,109.03960779664091,62.28817984310919,46.75142795353171,f,-201
1,256,311,39.0,22.0,14.0,0.0,9335.0,2138.0,4900.0,3550.0,200.0,6.666666666666667,99.24004641408727,83.52389929169374,15.716147122393537,57.0,21.0,14.0,1.0,9498.0,2039.0,4600.0,3550.0,653.0,11.333333333333334,109.03960779664091,62.28817984310919,46.75142795353171,f,-55
2,310,432,16.0,19.0,16.0,0.0,8435.0,1518.0,4180.0,3400.0,110.0,19.666666666666668,86.64423712736182,78.10159992035183,8.542637207009998,57.0,21.0,14.0,1.0,9498.0,2039.0,4600.0,3550.0,653.0,11.333333333333334,109.03960779664091,62.28817984310919,46.75142795353171,qf,-122
3,325,485,16.0,19.0,16.0,0.0,8435.0,1518.0,4180.0,3400.0,110.0,19.666666666666668,86.64423712736182,78.10159992035183,8.542637207009998,57.0,21.0,14.0,1.0,9498.0,2039.0,4600.0,3550.0,653.0,11.333333333333334,109.03960779664091,62.28817984310919,46.75142795353171,qf,-160
4,312,275,51.0,19.0,16.0,0.0,8385.0,1340.0,4340.0,3250.0,140.0,19.0,80.30747405491105,60.672289017576674,19.635185037334377,16.0,23.0,13.0,0.0,9154.0,1482.0,4420.0,3850.0,164.0,11.333333333333334,98.19097218176715,86.91009771788174,11.280874463885397,qf,37
5,227,297,51.0,19.0,16.0,0.0,8385.0,1340.0,4340.0,3250.0,140.0,19.0,80.30747405491105,60.672289017576674,19.635185037334377,16.0,23.0,13.0,0.0,9154.0,1482.0,4420.0,3850.0,164.0,11.333333333333334,98.19097218176715,86.91009771788174,11.280874463885397,qf,-70
6,210,268,51.0,19.0,16.0,0.0,8385.0,1340.0,4340.0,3250.0,140.0,19.0,80.30747405491105,60.672289017576674,19.635185037334377,16.0,23.0,13.0,0.0,9154.0,1482.0,4420.0,3850.0,164.0,11.333333333333334,98.19097218176715,86.91009771788174,11.280874463885397,qf,-58
7,286,454,48.0,20.0,15.0,1.0,8620.0,1676.0,4420.0,3500.0,95.0,15.0,86.8776901791321,79.80182548640347,7.075864692728629,39.0,22.0,14.0,0.0,9335.0,2138.0,4900.0,3550.0,200.0,6.666666666666667,99.24004641408727,83.52389929169374,15.716147122393537,qf,-168
8,330,474,48.0,20.0,15.0,1.0,8620.0,1676.0,4420.0,3500.0,95.0,15.0,86.8776901791321,79.80182548640347,7.075864692728629,39.0,22.0,14.0,0.0,9335.0,2138.0,4900.0,3550.0,200.0,6.666666666666667,99.24004641408727,83.52389929169374,15.716147122393537,qf,-144
9,445,285,38.0,21.0,15.0,0.0,9050.0,2338.0,4700.0,3500.0,170.0,15.0,88.7858041447666,70.77969838207846,18.00610576268816,31.0,24.0,12.0,0.0,8904.0,1872.0,4240.0,3750.0,214.0,10.666666666666666,83.70194958383068,69.447758612249,14.254190971581693,qf,160
10,445,205,38.0,21.0,15.0,0.0,9050.0,2338.0,4700.0,3500.0,170.0,15.0,88.7858041447666,70.77969838207846,18.00610576268816,31.0,24.0,12.0,0.0,8904.0,1872.0,4240.0,3750.0,214.0,10.666666666666666,83.70194958383068,69.447758612249,14.254190971581693,qf,240
11,240,185,34.0,18.0,18.0,0.0,8465.0,1375.0,4140.0,3500.0,160.0,21.666666666666668,78.17416339364225,80.45024266432279,-2.2760792706805497,25.0,18.0,17.0,0.0,8034.0,1788.0,4060.0,3100.0,119.0,22.333333333333332,68.60812021203938,70.36917187530732,-1.7610516632679396,qm,55
12,245,220,10.0,22.0,14.0,0.0,8842.0,1757.0,4100.0,3800.0,202.0,13.0,83.06436245693249,74.67016783187832,8.394194625054174,28.0,13.0,23.0,0.0,8066.0,1581.0,4060.0,3100.0,76.0,32.0,68.30072349540816,87.60444415330517,-19.303720657897003,qm,25
13,161,305,19.0,14.0,20.0,0.0,7866.0,1485.0,4040.0,3050.0,176.0,33.666666666666664,71.95666716266055,89.8010488796419,-17.844381716981356,33.0,21.0,15.0,0.0,8492.0,1766.0,4340.0,3450.0,92.0,15.0,80.31269896215836,73.56848477413551,6.744214188022856,qm,-144
14,185,185,32.0,16.0,17.0,3.0,8145.0,1502.0,4220.0,3100.0,125.0,23.0,64.59971068489911,72.21219331090334,-7.612482626004247,36.0,11.0,22.0,3.0,7874.0,1189.0,3940.0,3250.0,109.0,31.666666666666668,63.77119860588323,72.57852882571697,-8.807330219833746,qm,0
15,341,225,53.0,24.0,12.0,0.0,9853.0,2284.0,4900.0,3550.0,728.0,4.0,118.7743366475745,74.52402370207416,44.25031294550033,22.0,13.0,23.0,0.0,8051.0,1769.0,4360.0,2800.0,141.0,32.333333333333336,64.78785854556575,87.00496300259033,-22.21710445702458,qm,116
16,241,165,34.0,20.0,16.0,0.0,8846.0,2107.0,4440.0,3550.0,126.0,17.666666666666668,88.48774354234865,78.54085531850153,9.946888223847125,15.0,14.0,22.0,0.0,8049.0,1740.0,4320.0,3000.0,79.0,30.666666666666668,64.94628744461427,86.87391016795762,-21.92762272334335,qm,76
