,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,394,45.0,20.0,7.0,0.0,6921.0,1498.0,2940.0,3000.0,216.0,9.0,107.05934197119326,64.81400334173652,42.24533862945673,36.0,18.0,9.0,0.0,6515.0,1433.0,2660.0,2600.0,765.0,11.0,103.5041085212668,61.08778562209479,42.41632289917202,f,-89
1,285,368,45.0,20.0,7.0,0.0,6921.0,1498.0,2940.0,3000.0,216.0,9.0,107.05934197119326,64.81400334173652,42.24533862945673,36.0,18.0,9.0,0.0,6515.0,1433.0,2660.0,2600.0,765.0,11.0,103.5041085212668,61.08778562209479,42.41632289917202,f,-83
2,305,306,21.0,17.0,9.0,1.0,6261.0,1034.0,2980.0,2700.0,61.0,15.666666666666666,91.18702272764092,55.84439655048063,35.34262617716029,36.0,18.0,9.0,0.0,6515.0,1433.0,2660.0,2600.0,765.0,11.0,103.5041085212668,61.08778562209479,42.41632289917202,qf,-1
3,280,397,21.0,17.0,9.0,1.0,6261.0,1034.0,2980.0,2700.0,61.0,15.666666666666666,91.18702272764092,55.84439655048063,35.34262617716029,36.0,18.0,9.0,0.0,6515.0,1433.0,2660.0,2600.0,765.0,11.0,103.5041085212668,61.08778562209479,42.41632289917202,qf,-117
4,305,261,21.0,16.0,11.0,0.0,6469.0,1287.0,3040.0,2600.0,119.0,20.666666666666668,89.6676886128431,68.05496230745815,21.61272630538492,28.0,17.0,8.0,1.0,6492.0,1353.0,2980.0,2800.0,277.0,12.0,101.4023362134933,63.41568940930995,37.98664680418336,qf,44
5,265,398,21.0,16.0,11.0,0.0,6469.0,1287.0,3040.0,2600.0,119.0,20.666666666666668,89.6676886128431,68.05496230745815,21.61272630538492,28.0,17.0,8.0,1.0,6492.0,1353.0,2980.0,2800.0,277.0,12.0,101.4023362134933,63.41568940930995,37.98664680418336,qf,-133
6,285,297,21.0,16.0,11.0,0.0,6469.0,1287.0,3040.0,2600.0,119.0,20.666666666666668,89.6676886128431,68.05496230745815,21.61272630538492,28.0,17.0,8.0,1.0,6492.0,1353.0,2980.0,2800.0,277.0,12.0,101.4023362134933,63.41568940930995,37.98664680418336,qf,-12
7,270,290,25.0,15.0,12.0,0.0,6084.0,1255.0,2880.0,2600.0,79.0,23.666666666666668,85.37484412867609,82.89940613174007,2.475437996936011,45.0,20.0,7.0,0.0,6921.0,1498.0,2940.0,3000.0,216.0,9.0,107.05934197119326,64.81400334173652,42.24533862945673,qf,-20
8,305,331,25.0,15.0,12.0,0.0,6084.0,1255.0,2880.0,2600.0,79.0,23.666666666666668,85.37484412867609,82.89940613174007,2.475437996936011,45.0,20.0,7.0,0.0,6921.0,1498.0,2940.0,3000.0,216.0,9.0,107.05934197119326,64.81400334173652,42.24533862945673,qf,-26
9,265,298,26.0,13.0,13.0,1.0,5777.0,1068.0,2660.0,2400.0,82.0,29.0,71.35849531571164,73.45061064201238,-2.0921153263007404,28.0,17.0,10.0,0.0,5941.0,1204.0,2580.0,2550.0,306.0,17.333333333333332,65.41274570220395,51.29033471659937,14.122410985604596,qf,-33
10,220,210,26.0,13.0,13.0,1.0,5777.0,1068.0,2660.0,2400.0,82.0,29.0,71.35849531571164,73.45061064201238,-2.0921153263007404,28.0,17.0,10.0,0.0,5941.0,1204.0,2580.0,2550.0,306.0,17.333333333333332,65.41274570220395,51.29033471659937,14.122410985604596,qf,10
11,305,236,26.0,13.0,13.0,1.0,5777.0,1068.0,2660.0,2400.0,82.0,29.0,71.35849531571164,73.45061064201238,-2.0921153263007404,28.0,17.0,10.0,0.0,5941.0,1204.0,2580.0,2550.0,306.0,17.333333333333332,65.41274570220395,51.29033471659937,14.122410985604596,qf,69
12,145,135,27.0,11.0,15.0,0.0,4907.0,1002.0,2420.0,1950.0,82.0,39.333333333333336,53.323309179933055,71.12675382825434,-17.803444648321296,26.0,14.0,11.0,2.0,6218.0,1165.0,2840.0,2700.0,248.0,23.333333333333332,76.40584832370553,75.10310139873205,1.3027469249734953,qm,10
13,221,135,24.0,18.0,8.0,1.0,6782.0,1052.0,2860.0,2900.0,327.0,11.0,94.98612568800127,50.304537253711906,44.68158843428938,27.0,16.0,11.0,0.0,6285.0,1029.0,2900.0,2700.0,105.0,20.0,85.47745220524426,64.28352718993604,21.19392501530822,qm,86
14,356,285,21.0,13.0,14.0,0.0,6245.0,1284.0,2900.0,2650.0,55.0,32.333333333333336,96.55031343388198,96.36128170089027,0.18903173299169396,28.0,11.0,15.0,1.0,6034.0,1045.0,2840.0,2550.0,194.0,33.333333333333336,74.60264388815887,78.52030617116863,-3.9176622830097636,qm,71
15,255,153,17.0,14.0,12.0,1.0,5904.0,1184.0,2980.0,2300.0,74.0,27.333333333333332,81.90333489482971,62.86245099964132,19.04088389518839,33.0,7.0,20.0,0.0,5380.0,1124.0,2500.0,2200.0,170.0,48.0,56.03750889187625,87.56624798468704,-31.528739092810795,qm,102
16,155,140,19.0,11.0,16.0,0.0,5220.0,811.0,2440.0,2150.0,145.0,41.333333333333336,49.640490937907806,88.20239864849297,-38.56190771058516,15.0,8.0,17.0,1.0,4801.0,907.0,2380.0,1800.0,121.0,42.666666666666664,41.92863697321065,66.86966487069013,-24.941027897479476,qm,15
17,260,218,32.0,17.0,10.0,0.0,6684.0,1346.0,2720.0,2750.0,509.0,12.0,98.64093315025565,83.54668026114375,15.0942528891119,20.0,15.0,12.0,0.0,5925.0,1541.0,2800.0,2350.0,200.0,23.333333333333332,68.377329311152,65.62758230977676,2.7497470013752454,qm,42
18,310,162,16.0,11.0,16.0,0.0,5796.0,958.0,2560.0,2400.0,131.0,35.0,63.942277505771294,69.96749870036253,-6.0252211945912295,26.0,8.0,19.0,0.0,4695.0,944.0,2420.0,1750.0,80.0,46.666666666666664,34.4963823388078,88.78489461984726,-54.288512281039466,qm,148
19,205,201,35.0,15.0,11.0,1.0,5346.0,1121.0,2520.0,2100.0,116.0,24.666666666666668,62.22377406502854,65.73451263402755,-3.5107385689990025,19.0,12.0,15.0,0.0,5868.0,771.0,2400.0,2650.0,133.0,35.0,74.65677566228086,72.60869761284377,2.0480780494370996,qm,4
20,239,229,22.0,18.0,8.0,0.0,6465.0,1389.0,2840.0,2800.0,180.0,9.333333333333334,97.3084987441544,49.99109953521617,47.317399208938234,14.0,15.0,12.0,0.0,6688.0,1035.0,2700.0,3100.0,263.0,22.666666666666668,89.70558896158643,53.67863634983456,36.026952611751874,qm,10
21,270,165,39.0,19.0,8.0,0.0,6214.0,1147.0,2760.0,2800.0,134.0,15.0,86.48893315551766,66.95522941646544,19.533703739052203,38.0,12.0,14.0,1.0,5757.0,1329.0,2760.0,2300.0,222.0,32.333333333333336,67.34958622507685,80.72086556494624,-13.371279339869384,qm,105
