,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,503,271,35.0,21.0,9.0,0.0,9092.0,1753.0,4540.0,3550.0,227.0,11.0,107.99214962112812,92.11501770278437,15.877131918343755,35.0,21.0,9.0,0.0,9092.0,1753.0,4540.0,3550.0,227.0,11.0,107.99214962112812,92.11501770278437,15.877131918343755,f,232
1,461,424,35.0,21.0,9.0,0.0,9092.0,1753.0,4540.0,3550.0,227.0,11.0,107.99214962112812,92.11501770278437,15.877131918343755,35.0,21.0,9.0,0.0,9092.0,1753.0,4540.0,3550.0,227.0,11.0,107.99214962112812,92.11501770278437,15.877131918343755,f,37
2,397,462,30.0,17.0,13.0,0.0,8704.0,1573.0,4400.0,3400.0,159.0,27.333333333333332,105.81266914646672,90.24792807936132,15.56474106710541,30.0,17.0,13.0,0.0,8704.0,1573.0,4400.0,3400.0,159.0,27.333333333333332,105.81266914646672,90.24792807936132,15.56474106710541,qf,-65
3,397,466,30.0,17.0,13.0,0.0,8704.0,1573.0,4400.0,3400.0,159.0,27.333333333333332,105.81266914646672,90.24792807936132,15.56474106710541,30.0,17.0,13.0,0.0,8704.0,1573.0,4400.0,3400.0,159.0,27.333333333333332,105.81266914646672,90.24792807936132,15.56474106710541,qf,-69
4,449,427,10.0,12.0,18.0,0.0,8752.0,1722.0,4560.0,3550.0,137.0,36.333333333333336,107.33679078609913,129.26760142064015,-21.930810634541018,10.0,12.0,18.0,0.0,8752.0,1722.0,4560.0,3550.0,137.0,36.333333333333336,107.33679078609913,129.26760142064015,-21.930810634541018,qf,22
5,477,449,10.0,12.0,18.0,0.0,8752.0,1722.0,4560.0,3550.0,137.0,36.333333333333336,107.33679078609913,129.26760142064015,-21.930810634541018,10.0,12.0,18.0,0.0,8752.0,1722.0,4560.0,3550.0,137.0,36.333333333333336,107.33679078609913,129.26760142064015,-21.930810634541018,qf,28
6,305,507,16.0,19.0,11.0,0.0,8774.0,1551.0,4400.0,3700.0,84.0,18.333333333333332,106.23066261313846,79.31846872804695,26.912193885091508,16.0,19.0,11.0,0.0,8774.0,1551.0,4400.0,3700.0,84.0,18.333333333333332,106.23066261313846,79.31846872804695,26.912193885091508,qf,-202
7,445,480,19.0,19.0,11.0,0.0,8830.0,1670.0,4400.0,3650.0,115.0,18.0,105.63669969763703,75.68726178694867,29.949437910688363,19.0,19.0,11.0,0.0,8830.0,1670.0,4400.0,3650.0,115.0,18.0,105.63669969763703,75.68726178694867,29.949437910688363,qf,-35
8,350,491,11.0,19.0,11.0,0.0,9228.0,1685.0,4540.0,3850.0,38.0,16.0,115.36871721022278,80.45737523754804,34.91134197267477,11.0,19.0,11.0,0.0,9228.0,1685.0,4540.0,3850.0,38.0,16.0,115.36871721022278,80.45737523754804,34.91134197267477,qf,-141
9,255,484,32.0,19.0,11.0,0.0,9398.0,1585.0,4540.0,3750.0,63.0,14.0,122.69963006449886,81.84316512910164,40.856464935397234,32.0,19.0,11.0,0.0,9398.0,1585.0,4540.0,3750.0,63.0,14.0,122.69963006449886,81.84316512910164,40.856464935397234,qf,-229
10,241,206,26.0,15.0,15.0,0.0,8264.0,1499.0,4260.0,3200.0,114.0,40.0,92.48201560139937,80.75435006263898,11.727665538760382,26.0,15.0,15.0,0.0,8264.0,1499.0,4260.0,3200.0,114.0,40.0,92.48201560139937,80.75435006263898,11.727665538760382,qm,35
11,231,325,21.0,12.0,17.0,1.0,8266.0,1601.0,4100.0,3250.0,101.0,46.333333333333336,85.27412393948173,105.1882728971285,-19.914148957646777,21.0,12.0,17.0,1.0,8266.0,1601.0,4100.0,3250.0,101.0,46.333333333333336,85.27412393948173,105.1882728971285,-19.914148957646777,qm,-94
12,282,307,14.0,15.0,15.0,0.0,8700.0,1852.0,4500.0,3250.0,85.0,36.0,102.38705904665271,107.23112926202919,-4.844070215376483,14.0,15.0,15.0,0.0,8700.0,1852.0,4500.0,3250.0,85.0,36.0,102.38705904665271,107.23112926202919,-4.844070215376483,qm,-25
13,255,325,20.0,10.0,20.0,0.0,7717.0,1633.0,3980.0,2950.0,117.0,60.666666666666664,73.51918576799916,101.5994001619368,-28.080214393937624,20.0,10.0,20.0,0.0,7717.0,1633.0,3980.0,2950.0,117.0,60.666666666666664,73.51918576799916,101.5994001619368,-28.080214393937624,qm,-70
14,306,280,9.0,12.0,17.0,1.0,8491.0,1542.0,4200.0,3450.0,156.0,42.0,94.05372067879163,95.18916780550363,-1.1354471267119852,9.0,12.0,17.0,1.0,8491.0,1542.0,4200.0,3450.0,156.0,42.0,94.05372067879163,95.18916780550363,-1.1354471267119852,qm,26
15,309,362,19.0,14.0,16.0,0.0,8940.0,1699.0,4400.0,3800.0,135.0,33.333333333333336,113.48182663490826,98.31045383688115,15.171372798027113,19.0,14.0,16.0,0.0,8940.0,1699.0,4400.0,3800.0,135.0,33.333333333333336,113.48182663490826,98.31045383688115,15.171372798027113,qm,-53
16,233,335,16.0,12.0,18.0,0.0,7839.0,1394.0,3920.0,3150.0,94.0,52.0,80.11808050556608,84.65120498302468,-4.533124477458607,16.0,12.0,18.0,0.0,7839.0,1394.0,3920.0,3150.0,94.0,52.0,80.11808050556608,84.65120498302468,-4.533124477458607,qm,-102
17,284,325,20.0,15.0,15.0,0.0,8261.0,1218.0,4080.0,3450.0,181.0,38.333333333333336,92.25341531223722,93.082603621053,-0.8291883088157638,20.0,15.0,15.0,0.0,8261.0,1218.0,4080.0,3450.0,181.0,38.333333333333336,92.25341531223722,93.082603621053,-0.8291883088157638,qm,-41
18,345,330,28.0,16.0,14.0,0.0,8766.0,1729.0,4500.0,3450.0,111.0,27.0,105.62133314929372,89.8415899760771,15.779743173216616,28.0,16.0,14.0,0.0,8766.0,1729.0,4500.0,3450.0,111.0,27.0,105.62133314929372,89.8415899760771,15.779743173216616,qm,15
19,300,270,21.0,17.0,13.0,0.0,8737.0,1642.0,4520.0,3350.0,62.0,25.0,101.87111098782309,90.30542649474324,11.565684493079834,21.0,17.0,13.0,0.0,8737.0,1642.0,4520.0,3350.0,62.0,25.0,101.87111098782309,90.30542649474324,11.565684493079834,qm,30
20,225,352,12.0,11.0,18.0,1.0,7806.0,1288.0,4120.0,2950.0,101.0,47.333333333333336,74.84784960788572,104.38060521485026,-29.532755606964532,12.0,11.0,18.0,1.0,7806.0,1288.0,4120.0,2950.0,101.0,47.333333333333336,74.84784960788572,104.38060521485026,-29.532755606964532,qm,-127
21,210,305,17.0,15.0,14.0,1.0,8239.0,1597.0,4080.0,3100.0,414.0,32.0,87.40475873582932,97.54875918785842,-10.144000452029092,17.0,15.0,14.0,1.0,8239.0,1597.0,4080.0,3100.0,414.0,32.0,87.40475873582932,97.54875918785842,-10.144000452029092,qm,-95
22,180,235,22.0,11.0,18.0,1.0,8195.0,1522.0,4180.0,3050.0,175.0,45.0,82.34259070752331,99.10841373288584,-16.765823025362508,22.0,11.0,18.0,1.0,8195.0,1522.0,4180.0,3050.0,175.0,45.0,82.34259070752331,99.10841373288584,-16.765823025362508,qm,-55
23,295,305,13.0,16.0,14.0,0.0,8578.0,1433.0,4360.0,3500.0,78.0,28.666666666666668,93.21387122093476,89.39246859147984,3.821402629454923,13.0,16.0,14.0,0.0,8578.0,1433.0,4360.0,3500.0,78.0,28.666666666666668,93.21387122093476,89.39246859147984,3.821402629454923,qm,-10
24,387,255,31.0,19.0,10.0,1.0,9383.0,1561.0,4280.0,3900.0,403.0,12.333333333333334,120.85082340344593,83.98381019999883,36.867013203447094,31.0,19.0,10.0,1.0,9383.0,1561.0,4280.0,3900.0,403.0,12.333333333333334,120.85082340344593,83.98381019999883,36.867013203447094,qm,132
25,255,363,27.0,13.0,17.0,0.0,7817.0,1531.0,3920.0,3200.0,82.0,52.333333333333336,79.91297335455417,100.45136646595533,-20.538393111401152,27.0,13.0,17.0,0.0,7817.0,1531.0,3920.0,3200.0,82.0,52.333333333333336,79.91297335455417,100.45136646595533,-20.538393111401152,qm,-108
26,317,222,16.0,11.0,18.0,0.0,7563.0,1476.0,3780.0,3200.0,143.0,54.333333333333336,80.57125594805899,91.13519166269623,-10.563935714637246,16.0,11.0,18.0,0.0,7563.0,1476.0,3780.0,3200.0,143.0,54.333333333333336,80.57125594805899,91.13519166269623,-10.563935714637246,qm,95
27,185,310,22.0,11.0,19.0,0.0,7990.0,1410.0,4040.0,3100.0,85.0,52.0,82.4347197326557,95.34911814132936,-12.914398408673657,22.0,11.0,19.0,0.0,7990.0,1410.0,4040.0,3100.0,85.0,52.0,82.4347197326557,95.34911814132936,-12.914398408673657,qm,-125
28,285,215,45.0,17.0,13.0,0.0,8992.0,1538.0,4220.0,3650.0,527.0,19.0,107.30904081225857,83.32641957855064,23.982621233707942,45.0,17.0,13.0,0.0,8992.0,1538.0,4220.0,3650.0,527.0,19.0,107.30904081225857,83.32641957855064,23.982621233707942,qm,70
29,250,145,15.0,18.0,12.0,0.0,8608.0,1502.0,4140.0,3800.0,118.0,28.333333333333332,89.1225025684314,90.27281515513994,-1.1503125867085184,15.0,18.0,12.0,0.0,8608.0,1502.0,4140.0,3800.0,118.0,28.333333333333332,89.1225025684314,90.27281515513994,-1.1503125867085184,qm,105
30,310,345,14.0,15.0,14.0,1.0,9129.0,1628.0,4420.0,3750.0,134.0,32.333333333333336,109.81270049826469,100.52563866939808,9.287061828866621,14.0,15.0,14.0,1.0,9129.0,1628.0,4420.0,3750.0,134.0,32.333333333333336,109.81270049826469,100.52563866939808,9.287061828866621,qm,-35
31,365,235,21.0,18.0,12.0,0.0,8809.0,1537.0,4480.0,3500.0,74.0,19.666666666666668,106.54715786003045,85.09033510108937,21.456822758941087,21.0,18.0,12.0,0.0,8809.0,1537.0,4480.0,3500.0,74.0,19.666666666666668,106.54715786003045,85.09033510108937,21.456822758941087,qm,130
32,255,350,18.0,15.0,15.0,0.0,8560.0,1487.0,4340.0,3500.0,90.0,33.333333333333336,92.54220941288993,107.49860606825189,-14.956396655361951,18.0,15.0,15.0,0.0,8560.0,1487.0,4340.0,3500.0,90.0,33.333333333333336,92.54220941288993,107.49860606825189,-14.956396655361951,qm,-95
33,350,230,36.0,21.0,9.0,0.0,9005.0,1734.0,4620.0,3550.0,120.0,9.0,110.44603350359044,87.05791081305473,23.388122690535706,36.0,21.0,9.0,0.0,9005.0,1734.0,4620.0,3550.0,120.0,9.0,110.44603350359044,87.05791081305473,23.388122690535706,qm,120
34,230,231,24.0,15.0,15.0,0.0,8687.0,1520.0,4440.0,3500.0,102.0,27.666666666666668,92.82798486061144,96.63694667299518,-3.8089618123837377,24.0,15.0,15.0,0.0,8687.0,1520.0,4440.0,3500.0,102.0,27.666666666666668,92.82798486061144,96.63694667299518,-3.8089618123837377,qm,-1
35,290,305,19.0,16.0,13.0,1.0,8540.0,1436.0,4020.0,3350.0,430.0,22.333333333333332,99.3823114149824,100.27307556076248,-0.8907641457800679,19.0,16.0,13.0,1.0,8540.0,1436.0,4020.0,3350.0,430.0,22.333333333333332,99.3823114149824,100.27307556076248,-0.8907641457800679,qm,-15
36,260,336,25.0,12.0,18.0,0.0,8510.0,1436.0,4260.0,3450.0,55.0,40.666666666666664,92.22581780423211,108.76438364384349,-16.538565839611376,25.0,12.0,18.0,0.0,8510.0,1436.0,4260.0,3450.0,55.0,40.666666666666664,92.22581780423211,108.76438364384349,-16.538565839611376,qm,-76
37,275,250,13.0,17.0,12.0,1.0,8155.0,1682.0,4240.0,3050.0,135.0,31.666666666666668,77.38171303193728,80.02427977494455,-2.642566743007253,13.0,17.0,12.0,1.0,8155.0,1682.0,4240.0,3050.0,135.0,31.666666666666668,77.38171303193728,80.02427977494455,-2.642566743007253,qm,25
38,235,175,19.0,14.0,16.0,0.0,8357.0,1480.0,4340.0,3300.0,107.0,36.0,86.94273431550108,105.67807100268396,-18.735336687182883,19.0,14.0,16.0,0.0,8357.0,1480.0,4340.0,3300.0,107.0,36.0,86.94273431550108,105.67807100268396,-18.735336687182883,qm,60
39,305,339,23.0,10.0,20.0,0.0,7788.0,1546.0,4080.0,3100.0,68.0,52.333333333333336,80.63387224403179,107.25158621367022,-26.61771396963843,23.0,10.0,20.0,0.0,7788.0,1546.0,4080.0,3100.0,68.0,52.333333333333336,80.63387224403179,107.25158621367022,-26.61771396963843,qm,-34
40,286,185,15.0,10.0,19.0,1.0,8078.0,1260.0,4040.0,3400.0,138.0,49.666666666666664,81.75654779098629,96.52065334641594,-14.76410555542965,15.0,10.0,19.0,1.0,8078.0,1260.0,4040.0,3400.0,138.0,49.666666666666664,81.75654779098629,96.52065334641594,-14.76410555542965,qm,101
41,203,255,21.0,8.0,22.0,0.0,7738.0,1673.0,4220.0,2800.0,158.0,59.0,74.70871826569085,102.83378168310891,-28.125063417418072,21.0,8.0,22.0,0.0,7738.0,1673.0,4220.0,2800.0,158.0,59.0,74.70871826569085,102.83378168310891,-28.125063417418072,qm,-52
42,291,360,21.0,10.0,20.0,0.0,8161.0,1269.0,4000.0,3400.0,51.0,50.0,86.9520191910634,104.79846683020499,-17.846447639141587,21.0,10.0,20.0,0.0,8161.0,1269.0,4000.0,3400.0,51.0,50.0,86.9520191910634,104.79846683020499,-17.846447639141587,qm,-69
43,318,185,30.0,17.0,12.0,1.0,8487.0,1529.0,4300.0,3350.0,187.0,24.333333333333332,97.82089303096825,86.08437622823494,11.7365168027333,30.0,17.0,12.0,1.0,8487.0,1529.0,4300.0,3350.0,187.0,24.333333333333332,97.82089303096825,86.08437622823494,11.7365168027333,qm,133
44,185,290,14.0,16.0,14.0,0.0,8185.0,1556.0,4440.0,3050.0,65.0,29.333333333333332,79.98970566700702,90.78385457065387,-10.79414890364685,14.0,16.0,14.0,0.0,8185.0,1556.0,4440.0,3050.0,65.0,29.333333333333332,79.98970566700702,90.78385457065387,-10.79414890364685,qm,-105
45,290,155,17.0,16.0,14.0,0.0,9166.0,1537.0,4480.0,3900.0,46.0,22.333333333333332,112.25930383427233,83.91225073382245,28.3470531004499,17.0,16.0,14.0,0.0,9166.0,1537.0,4480.0,3900.0,46.0,22.333333333333332,112.25930383427233,83.91225073382245,28.3470531004499,qm,135
