,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,310,238,17.0,21.0,15.0,0.0,7204.0,1526.0,4160.0,2250.0,24.0,14.333333333333334,84.23427275523466,46.328912858966284,37.90535989626838,11.0,21.0,14.0,1.0,7405.0,1271.0,3980.0,2700.0,20.0,13.0,88.90249486095529,56.61358970405238,32.2889051569029,f,72
1,255,288,17.0,21.0,15.0,0.0,7204.0,1526.0,4160.0,2250.0,24.0,14.333333333333334,84.23427275523466,46.328912858966284,37.90535989626838,11.0,21.0,14.0,1.0,7405.0,1271.0,3980.0,2700.0,20.0,13.0,88.90249486095529,56.61358970405238,32.2889051569029,f,-33
2,285,288,17.0,21.0,15.0,0.0,7204.0,1526.0,4160.0,2250.0,24.0,14.333333333333334,84.23427275523466,46.328912858966284,37.90535989626838,11.0,21.0,14.0,1.0,7405.0,1271.0,3980.0,2700.0,20.0,13.0,88.90249486095529,56.61358970405238,32.2889051569029,f,-3
3,200,470,11.0,21.0,14.0,1.0,6513.0,1574.0,3860.0,1950.0,8.0,13.0,68.18866218966478,67.61501599375914,0.5736461959056148,27.0,22.0,13.0,1.0,6593.0,1372.0,4080.0,1850.0,3.0,13.0,71.97935317582947,52.77606667975157,19.20328649607791,qf,-270
4,215,280,11.0,21.0,14.0,1.0,6513.0,1574.0,3860.0,1950.0,8.0,13.0,68.18866218966478,67.61501599375914,0.5736461959056148,27.0,22.0,13.0,1.0,6593.0,1372.0,4080.0,1850.0,3.0,13.0,71.97935317582947,52.77606667975157,19.20328649607791,qf,-65
5,210,286,17.0,20.0,16.0,0.0,6697.0,1296.0,3880.0,2100.0,12.0,15.333333333333334,77.16377122183842,52.10888870272527,25.054882519113136,11.0,21.0,14.0,1.0,7405.0,1271.0,3980.0,2700.0,20.0,13.0,88.90249486095529,56.61358970405238,32.2889051569029,qf,-76
6,305,236,17.0,20.0,16.0,0.0,6697.0,1296.0,3880.0,2100.0,12.0,15.333333333333334,77.16377122183842,52.10888870272527,25.054882519113136,11.0,21.0,14.0,1.0,7405.0,1271.0,3980.0,2700.0,20.0,13.0,88.90249486095529,56.61358970405238,32.2889051569029,qf,69
7,215,332,17.0,20.0,16.0,0.0,6697.0,1296.0,3880.0,2100.0,12.0,15.333333333333334,77.16377122183842,52.10888870272527,25.054882519113136,11.0,21.0,14.0,1.0,7405.0,1271.0,3980.0,2700.0,20.0,13.0,88.90249486095529,56.61358970405238,32.2889051569029,qf,-117
8,190,235,26.0,20.0,15.0,1.0,6670.0,1097.0,3940.0,2000.0,30.0,14.333333333333334,63.546340483781044,54.53230771874015,9.014032765040893,17.0,21.0,15.0,0.0,7204.0,1526.0,4160.0,2250.0,24.0,14.333333333333334,84.23427275523466,46.328912858966284,37.90535989626838,qf,-45
9,205,420,26.0,20.0,15.0,1.0,6670.0,1097.0,3940.0,2000.0,30.0,14.333333333333334,63.546340483781044,54.53230771874015,9.014032765040893,17.0,21.0,15.0,0.0,7204.0,1526.0,4160.0,2250.0,24.0,14.333333333333334,84.23427275523466,46.328912858966284,37.90535989626838,qf,-215
10,260,280,11.0,23.0,12.0,1.0,6905.0,1287.0,3800.0,2350.0,15.0,10.0,75.60083135982352,49.23662639614421,26.3642049636793,28.0,23.0,13.0,0.0,6815.0,1410.0,3840.0,2100.0,5.0,11.0,72.72694030602952,44.17202923331962,28.554911072709896,qf,-20
11,290,155,11.0,23.0,12.0,1.0,6905.0,1287.0,3800.0,2350.0,15.0,10.0,75.60083135982352,49.23662639614421,26.3642049636793,28.0,23.0,13.0,0.0,6815.0,1410.0,3840.0,2100.0,5.0,11.0,72.72694030602952,44.17202923331962,28.554911072709896,qf,135
12,310,260,11.0,23.0,12.0,1.0,6905.0,1287.0,3800.0,2350.0,15.0,10.0,75.60083135982352,49.23662639614421,26.3642049636793,28.0,23.0,13.0,0.0,6815.0,1410.0,3840.0,2100.0,5.0,11.0,72.72694030602952,44.17202923331962,28.554911072709896,qf,50
